"","id","unique_id","date","species","rlc_time","treatment","temp","nitrate","salinity","plant_id","n_g_m3_2d","p_g_m3_2d","treat_letter","run_combo","rlc_end_time","rlc_day","rlc_order","f0","fm","f","fm_prime","fv_fm","delta_npq","pmax","retr_max","retr_max_ypoint1","npq_max","alpha_est","alpha_se","alpha_t","alpha_pvalue","ek_est","ek_se","ek_t","ek_pvalue","lunar_phase","illumination"
"691","hm6-3","10/19/21_hm6-3",2021-10-19,"h",09:25:58,3,30,53,18,30,6.4,0.41,"e",3,09:30:00,9,3,108,206,108,206,0.476,0,27.91,44.28,28,0.515,0.773,NA,4.72,0.003,36.1,NA,3.66,0.011,"Full",0.975695709033347
"692","hm6-4","10/19/21_hm6-4",2021-10-19,"h",09:31:20,4,30,80,11,30,9.7,0.94,"f",3,09:35:23,9,3,119,278,119,278,0.572,0,32.72,52.48,31.35,0.917,0.512,NA,12.36,0,63.8,NA,7.6,0,"Full",0.975695709033347
"693","ul6-1","10/19/21_ul6-1",2021-10-19,"u",09:35:48,1,30,14,35,30,1.7,0.001,"b",3,09:39:50,9,3,247,1080,247,1080,0.771,0,33.51,36.1,36.1,0.627,0.971,NA,4.35,0.005,34.5,NA,3.43,0.014,"Full",0.975695709033347
"694","ul6-2","10/19/21_ul6-2",2021-10-19,"u",09:40:26,2,30,27,28,30,3.3,0.037,"c",3,09:44:28,9,3,268,1254,268,1254,0.786,0,49.32,51.02,51.02,0.633,0.781,NA,11.74,0,63.2,NA,7.25,0,"Full",0.975695709033347
"695","ul6-3","10/19/21_ul6-3",2021-10-19,"u",09:45:07,3,30,53,18,30,6.4,0.41,"e",3,09:49:09,9,3,263,1148,263,1148,0.771,0,48.87,49.4,49.4,0.311,0.767,NA,12.56,0,63.8,NA,7.73,0,"Full",0.975695709033347
"696","ul6-4","10/19/21_ul6-4",2021-10-19,"u",09:49:27,4,30,80,11,30,9.7,0.94,"f",3,09:53:29,9,3,285,1240,285,1240,0.77,0,66.05,64.12,64.12,0.424,0.691,NA,18.19,0,95.6,NA,9.45,0,"Full",0.975695709033347
"697","hm1-1","10/19/21_hm1-1",2021-10-19,"h",09:53:51,1,20,14,35,25,1.7,0.001,"b",3,09:57:54,9,4,95,235,95,235,0.596,0,54.3,58.22,51.66,0.808,0.482,NA,24.64,0,112.6,NA,11.97,0,"Full",0.975695709033347
"698","hm1-2","10/19/21_hm1-2",2021-10-19,"h",09:58:17,2,20,27,28,25,3.3,0.037,"c",3,10:02:19,9,4,144,303,144,303,0.525,0,55.97,63.96,52.92,0.731,0.456,NA,22.12,0,122.8,NA,10.39,0,"Full",0.975695709033347
"699","hm1-3","10/19/21_hm1-3",2021-10-19,"h",10:02:44,3,20,53,18,25,6.4,0.41,"e",3,10:06:46,9,4,106,239,106,239,0.556,0,38.08,50.02,35.34,0.615,0.645,NA,10.43,0,59,NA,6.63,0.001,"Full",0.975695709033347
"700","hm1-4","10/19/21_hm1-4",2021-10-19,"h",10:07:37,4,20,80,11,25,9.7,0.94,"f",3,10:11:40,9,4,92,180,92,180,0.489,0,38.44,38.64,36.62,0.463,0.677,NA,8.98,0,56.8,NA,5.81,0.001,"Full",0.975695709033347
"701","ul1-1","10/19/21_ul1-1",2021-10-19,"u",10:12:00,1,20,14,35,25,1.7,0.001,"b",3,10:16:03,9,4,240,1024,240,1024,0.766,0,65.51,64.98,64.98,0.69,0.715,NA,22.29,0,91.6,NA,11.78,0,"Full",0.975695709033347
"702","ul1-2","10/19/21_ul1-2",2021-10-19,"u",10:16:19,2,20,27,28,25,3.3,0.037,"c",3,10:20:21,9,4,281,1163,281,1163,0.758,0,50.55,51.02,51.02,0.58,0.782,NA,13.66,0,64.6,NA,8.36,0,"Full",0.975695709033347
"703","ul1-3","10/19/21_ul1-3",2021-10-19,"u",10:20:58,3,20,53,18,25,6.4,0.41,"e",3,10:25:00,9,4,290,1258,290,1258,0.769,0,78.8,76.44,76.44,0.483,0.654,NA,25.64,0,120.5,NA,12.13,0,"Full",0.975695709033347
"704","ul1-4","10/19/21_ul1-4",2021-10-19,"u",10:25:36,4,20,80,11,25,9.7,0.94,"f",3,10:29:39,9,4,310,1206,310,1206,0.743,0,69.82,66.97,66.97,0.465,0.664,NA,18.54,0,105.2,NA,9.26,0,"Full",0.975695709033347
"705","hm2-1","10/19/21_hm2-1",2021-10-19,"h",10:30:25,1,20,14,35,26,1.7,0.001,"b",3,10:34:28,9,5,109,272,109,272,0.599,0,99.4,94.08,94.08,0.801,0.63,NA,25.12,0,157.9,NA,10.7,0,"Full",0.975695709033347
"706","hm2-2","10/19/21_hm2-2",2021-10-19,"h",10:35:41,2,20,27,28,26,3.3,0.037,"c",3,10:39:44,9,5,127,330,127,330,0.615,0,50.1,53.34,53.34,0.988,0.748,NA,21.77,0,66.9,NA,13.12,0,"Full",0.975695709033347
"707","hm2-3","10/19/21_hm2-3",2021-10-19,"h",10:43:27,3,20,53,18,26,6.4,0.41,"e",3,10:47:30,9,5,129,308,129,308,0.581,0,51.34,55.76,49.3,0.878,0.56,NA,14.16,0,91.8,NA,7.48,0,"Full",0.975695709033347
"708","hm2-4","10/19/21_hm2-4",2021-10-19,"h",10:47:50,4,20,80,11,26,9.7,0.94,"f",3,10:51:52,9,5,130,315,130,315,0.587,0,73.5,70.52,68.88,0.438,0.558,NA,28.49,0,131.6,NA,13.02,0,"Full",0.975695709033347
"709","ul2-1","10/19/21_ul2-1",2021-10-19,"u",10:52:56,1,20,14,35,26,1.7,0.001,"b",3,10:56:59,9,5,225,1035,225,1035,0.783,0,68.12,67.55,67.55,0.592,0.725,NA,19.94,0,94,NA,10.43,0,"Full",0.975695709033347
"710","ul2-2","10/19/21_ul2-2",2021-10-19,"u",10:57:47,2,20,27,28,26,3.3,0.037,"c",3,11:01:49,9,5,256,1173,256,1173,0.782,0,73.03,70.39,70.39,0.705,0.69,NA,28.32,0,105.9,NA,14.11,0,"Full",0.975695709033347
"711","ul2-3","10/19/21_ul2-3",2021-10-19,"u",11:02:44,3,20,53,18,26,6.4,0.41,"e",3,11:06:46,9,5,212,1084,212,1084,0.804,0,93.12,89.46,89.46,0.542,0.656,NA,61.23,0,141.9,NA,27.18,0,"Full",0.975695709033347
"712","ul2-4","10/19/21_ul2-4",2021-10-19,"u",11:07:52,4,20,80,11,26,9.7,0.94,"f",3,11:11:54,9,5,280,1460,280,1460,0.808,0,89.31,85.26,85.26,0.53,0.623,NA,37.03,0,143.4,NA,16.37,0,"Full",0.975695709033347
"713","hm3-1","10/19/21_hm3-1",2021-10-19,"h",11:12:33,1,27,14,35,27,1.7,0.001,"b",3,11:16:35,9,6,128,335,128,335,0.618,0,43.44,50.84,46.2,0.841,0.783,NA,20.94,0,55.5,NA,13.67,0,"Full",0.975695709033347
"714","hm3-2","10/19/21_hm3-2",2021-10-19,"h",11:17:31,2,27,27,28,27,3.3,0.037,"c",3,11:21:34,9,6,159,406,159,406,0.608,0,46.91,48.74,48.74,0.773,0.691,NA,11.69,0,67.9,NA,7,0,"Full",0.975695709033347
"715","hm3-3","10/19/21_hm3-3",2021-10-19,"h",11:22:40,3,27,53,18,27,6.4,0.41,"e",3,11:26:42,9,6,105,248,105,248,0.577,0,37.96,47.56,38.76,0.746,0.828,NA,14.13,0,45.9,NA,9.98,0,"Full",0.975695709033347
"716","hm3-4","10/19/21_hm3-4",2021-10-19,"h",11:28:46,4,27,80,11,27,9.7,0.94,"f",3,11:32:48,9,6,112,284,112,284,0.606,0,57.91,54.53,54.53,0.764,0.658,NA,7.63,0,88,NA,4.1,0.006,"Full",0.975695709033347
"717","ul3-1","10/19/21_ul3-1",2021-10-19,"u",11:33:04,1,27,14,35,27,1.7,0.001,"b",3,11:37:06,9,6,220,1101,220,1101,0.8,0,76.56,76.02,76.02,0.544,0.697,NA,30.97,0,109.9,NA,15.2,0,"Full",0.975695709033347
"718","ul3-2","10/19/21_ul3-2",2021-10-19,"u",11:38:10,2,27,27,28,27,3.3,0.037,"c",3,11:42:12,9,6,297,1178,297,1178,0.748,0,46.01,47.04,47.04,0.325,0.412,NA,26.37,0,111.7,NA,12.85,0,"Full",0.975695709033347
"719","ul3-3","10/19/21_ul3-3",2021-10-19,"u",11:42:38,3,27,53,18,27,6.4,0.41,"e",3,11:46:41,9,6,333,1345,333,1345,0.752,0,73.11,73.08,73.08,0.398,0.679,NA,37.97,0,107.7,NA,18.79,0,"Full",0.975695709033347
"720","ul3-4","10/19/21_ul3-4",2021-10-19,"u",11:47:06,4,27,80,11,27,9.7,0.94,"f",3,11:51:09,9,6,296,1300,296,1300,0.772,0,88.64,85.26,85.26,0.599,0.659,NA,47.54,0,134.5,NA,21.55,0,"Full",0.975695709033347
"721","hm1-1","10/21/21_hm1-1",2021-10-21,"h",08:21:25,1,20,14,35,31,1.7,0.001,"b",4,08:25:28,1,1,99,218,99,218,0.546,0,92.41,89.04,89.04,0.802,0.632,NA,34.19,0,146.1,NA,15.01,0,"Full",0.997224126646534
"722","hm1-2","10/21/21_hm1-2",2021-10-21,"h",08:26:02,2,20,27,28,31,3.3,0.037,"c",4,08:30:04,1,1,107,267,107,267,0.599,0,70.72,73.8,64.41,0.894,0.767,NA,17.19,0,92.2,NA,9.06,0,"Full",0.997224126646534
"723","hm1-3","10/21/21_hm1-3",2021-10-21,"h",08:30:27,3,20,53,18,31,6.4,0.41,"e",4,08:34:29,1,1,85,220,85,220,0.614,0,69.03,91.02,91.02,0.88,0.84,NA,13.99,0,82.2,NA,7.73,0,"Full",0.997224126646534
"724","hm1-4","10/21/21_hm1-4",2021-10-21,"h",08:34:53,4,20,80,11,31,9.7,0.94,"f",4,08:38:56,1,1,119,234,119,234,0.491,0,66.05,65.52,65.52,0.463,0.466,NA,19.26,0,141.7,NA,8.56,0,"Full",0.997224126646534
"725","ul1-1","10/21/21_ul1-1",2021-10-21,"u",08:39:13,1,20,14,35,31,1.7,0.001,"b",4,08:43:16,1,1,222,890,222,890,0.751,0,48.77,48.45,48.45,1.018,0.67,NA,16.79,0,72.8,NA,9.76,0,"Full",0.997224126646534
"726","ul1-2","10/21/21_ul1-2",2021-10-21,"u",08:43:49,2,20,27,28,31,3.3,0.037,"c",4,08:47:51,1,1,182,589,182,589,0.691,0,39.68,39.52,39.52,1.365,0.655,NA,10.5,0,60.6,NA,6.6,0.001,"Full",0.997224126646534
"727","ul1-3","10/21/21_ul1-3",2021-10-21,"u",08:48:07,3,20,53,18,31,6.4,0.41,"e",4,08:52:09,1,1,211,1032,211,1032,0.796,0,77.23,76.02,76.02,0.734,0.687,NA,33.23,0,112.5,NA,16.16,0,"Full",0.997224126646534
"728","ul1-4","10/21/21_ul1-4",2021-10-21,"u",08:52:49,4,20,80,11,31,9.7,0.94,"f",4,08:56:51,1,1,178,659,178,659,0.73,0,53.18,53.01,53.01,1.112,0.65,NA,17.4,0,81.8,NA,9.63,0,"Full",0.997224126646534
"729","hm2-1","10/21/21_hm2-1",2021-10-21,"h",08:57:21,1,20,14,35,32,1.7,0.001,"b",4,09:01:24,1,2,81,141,81,141,0.426,0,67.34,84.46,84.46,0.454,0.392,NA,20.18,0,171.9,NA,8.32,0,"Full",0.997224126646534
"730","hm2-2","10/21/21_hm2-2",2021-10-21,"h",09:01:52,2,20,27,28,32,3.3,0.037,"c",4,09:05:55,1,2,96,223,96,223,0.57,0,56.73,72.16,53.87,0.784,0.672,NA,16.05,0,84.5,NA,8.77,0,"Full",0.997224126646534
"731","hm2-3","10/21/21_hm2-3",2021-10-21,"h",09:06:12,3,20,53,18,32,6.4,0.41,"e",4,09:10:14,1,2,98,143,98,143,0.315,0,39.69,59.04,29.35,0.233,0.212,NA,11.75,0,187.2,NA,4.69,0.003,"Full",0.997224126646534
"732","hm2-4","10/21/21_hm2-4",2021-10-21,"h",09:11:01,4,20,80,11,32,9.7,0.94,"f",4,09:15:04,1,2,90,221,90,221,0.593,0,57.12,73.8,54.18,0.782,0.541,NA,20.96,0,105.5,NA,10.46,0,"Full",0.997224126646534
"733","ul2-1","10/21/21_ul2-1",2021-10-21,"u",09:15:21,1,20,14,35,32,1.7,0.001,"b",4,09:19:24,1,2,186,973,186,973,0.809,0,101.53,93.75,93.75,0.658,0.64,NA,61.5,0,158.6,NA,26.17,0,"Full",0.997224126646534
"734","ul2-2","10/21/21_ul2-2",2021-10-21,"u",09:19:49,2,20,27,28,32,3.3,0.037,"c",4,09:23:52,1,2,224,1012,224,1012,0.779,0,65.27,65.1,65.1,1.181,0.605,NA,38.72,0,108,NA,19.14,0,"Full",0.997224126646534
"735","ul2-3","10/21/21_ul2-3",2021-10-21,"u",09:24:18,3,20,53,18,32,6.4,0.41,"e",4,09:28:20,1,2,193,814,193,814,0.763,0,81.58,80.22,80.22,0.785,0.58,NA,42.59,0,140.6,NA,18.97,0,"Full",0.997224126646534
"736","ul2-4","10/21/21_ul2-4",2021-10-21,"u",09:28:55,4,20,80,11,32,9.7,0.94,"f",4,09:32:57,1,2,244,874,244,874,0.721,0,77.48,70.52,70.14,1.163,0.502,NA,28.84,0,154.2,NA,12.4,0,"Full",0.997224126646534
"737","hm3-1","10/21/21_hm3-1",2021-10-21,"h",09:33:19,1,27,14,35,33,1.7,0.001,"b",4,09:37:22,1,3,73,166,73,166,0.56,0,79.3,79.54,71.82,0.581,0.549,NA,15.08,0,144.5,NA,6.65,0.001,"Full",0.997224126646534
"738","hm3-2","10/21/21_hm3-2",2021-10-21,"h",09:37:43,2,27,27,28,33,3.3,0.037,"c",4,09:41:45,1,3,101,257,101,257,0.607,0,60.5,75.44,58.14,0.772,0.622,NA,14.85,0,97.3,NA,7.65,0,"Full",0.997224126646534
"739","hm3-3","10/21/21_hm3-3",2021-10-21,"h",09:42:09,3,27,53,18,33,6.4,0.41,"e",4,09:46:11,1,3,100,276,100,276,0.638,0,78.19,83.64,83.64,0.878,0.579,NA,14.81,0,135,NA,6.7,0.001,"Full",0.997224126646534
"740","hm3-4","10/21/21_hm3-4",2021-10-21,"h",09:46:30,4,27,80,11,33,9.7,0.94,"f",4,09:50:33,1,3,97,270,97,270,0.641,0,82.47,101.68,101.68,0.788,0.64,NA,24.34,0,128.8,NA,11.22,0,"Full",0.997224126646534
"741","ul3-1","10/21/21_ul3-1",2021-10-21,"u",09:51:12,1,27,14,35,33,1.7,0.001,"b",4,09:55:14,1,3,164,569,164,569,0.712,0,56.28,55.01,55.01,1.1,0.606,NA,19.63,0,92.8,NA,10.31,0,"Full",0.997224126646534
"742","ul3-2","10/21/21_ul3-2",2021-10-21,"u",09:55:34,2,27,27,28,33,3.3,0.037,"c",4,09:59:36,1,3,194,663,194,663,0.707,0,67.05,64.98,64.98,1.195,0.582,NA,31.08,0,115.2,NA,14.97,0,"Full",0.997224126646534
"743","ul3-3","10/21/21_ul3-3",2021-10-21,"u",10:00:01,3,27,53,18,33,6.4,0.41,"e",4,10:04:03,1,3,218,740,218,740,0.705,0,48.33,49.88,49.88,0.989,0.651,NA,15.08,0,74.2,NA,8.7,0,"Full",0.997224126646534
"744","ul3-4","10/21/21_ul3-4",2021-10-21,"u",10:04:29,4,27,80,11,33,9.7,0.94,"f",4,10:08:31,1,3,204,793,204,793,0.743,0,69.88,67.83,67.83,0.645,0.666,NA,18.85,0,105,NA,9.42,0,"Full",0.997224126646534
"745","hm4-1","10/21/21_hm4-1",2021-10-21,"h",10:09:09,1,27,14,35,34,1.7,0.001,"b",4,10:13:12,1,4,106,275,106,275,0.615,0,68.25,78.72,64.7,0.821,0.694,NA,19.05,0,98.4,NA,9.78,0,"Full",0.997224126646534
"746","hm4-2","10/21/21_hm4-2",2021-10-21,"h",10:13:40,2,27,27,28,34,3.3,0.037,"c",4,10:17:42,1,4,102,272,102,272,0.625,0,66.53,77.08,69.72,0.957,0.852,NA,23.79,0,78.1,NA,13.43,0,"Full",0.997224126646534
"747","hm4-3","10/21/21_hm4-3",2021-10-21,"h",10:18:29,3,27,53,18,34,6.4,0.41,"e",4,10:22:31,1,4,84,223,84,223,0.623,0,80.49,79.8,79.8,0.956,0.734,NA,56.79,0,109.7,NA,27.89,0,"Full",0.997224126646534
"748","hm4-4","10/21/21_hm4-4",2021-10-21,"h",10:22:47,4,27,80,11,34,9.7,0.94,"f",4,10:26:49,1,4,103,269,103,269,0.617,0,65.98,81.18,66.88,0.921,0.711,NA,29.33,0,92.8,NA,15.41,0,"Full",0.997224126646534
"749","ul4-1","10/21/21_ul4-1",2021-10-21,"u",10:27:21,1,27,14,35,34,1.7,0.001,"b",4,10:31:24,1,4,175,741,175,741,0.764,0,44.42,45.6,45.6,0.669,0.792,NA,20.8,0,56.1,NA,13.51,0,"Full",0.997224126646534
"750","ul4-2","10/21/21_ul4-2",2021-10-21,"u",10:31:45,2,27,27,28,34,3.3,0.037,"c",4,10:35:48,1,4,204,725,204,725,0.719,0,35.94,37.24,37.24,0.633,1.032,NA,4.04,0.007,34.8,NA,3.18,0.019,"Full",0.997224126646534
"751","ul4-3","10/21/21_ul4-3",2021-10-21,"u",10:36:09,3,27,53,18,34,6.4,0.41,"e",4,10:40:12,1,4,227,519,227,519,0.563,0,28.11,29.64,29.64,1.068,0.555,NA,14.86,0,50.7,NA,10.07,0,"Full",0.997224126646534
"752","ul4-4","10/21/21_ul4-4",2021-10-21,"u",10:40:30,4,27,80,11,34,9.7,0.94,"f",4,10:44:33,1,4,186,446,186,446,0.583,0,28.45,31.16,31.16,0.664,0.771,NA,10.28,0,36.9,NA,7.91,0,"Full",0.997224126646534
"753","hm5-1","10/21/21_hm5-1",2021-10-21,"h",10:44:55,1,30,14,35,35,1.7,0.001,"b",4,10:48:58,1,5,106,267,106,267,0.603,0,95.05,104.96,104.96,0.792,0.631,NA,35.18,0,150.6,NA,15.27,0,"Full",0.997224126646534
"754","hm5-2","10/21/21_hm5-2",2021-10-21,"h",10:49:56,2,30,27,28,35,3.3,0.037,"c",4,10:53:59,1,5,130,345,130,345,0.623,0,82.49,82.32,82.32,0.983,0.684,NA,26.25,0,120.6,NA,12.42,0,"Full",0.997224126646534
"755","hm5-3","10/21/21_hm5-3",2021-10-21,"h",10:54:28,3,30,53,18,35,6.4,0.41,"e",4,10:58:30,1,5,148,352,148,352,0.58,0,79.03,89.38,89.38,0.833,0.607,NA,60,0,130.2,NA,27.54,0,"Full",0.997224126646534
"756","hm5-4","10/21/21_hm5-4",2021-10-21,"h",10:59:01,4,30,80,11,35,9.7,0.94,"f",4,11:03:03,1,5,148,359,148,359,0.588,0,69.05,77.9,73.08,0.777,0.643,NA,27.67,0,107.4,NA,13.7,0,"Full",0.997224126646534
"757","ul5-1","10/21/21_ul5-1",2021-10-21,"u",11:03:24,1,30,14,35,35,1.7,0.001,"b",4,11:07:26,1,5,234,1077,234,1077,0.783,0,78.66,78.72,76.44,0.847,0.57,NA,65.08,0,138.1,NA,29.2,0,"Full",0.997224126646534
"758","ul5-2","10/21/21_ul5-2",2021-10-21,"u",11:07:47,2,30,27,28,35,3.3,0.037,"c",4,11:11:50,1,5,220,1106,220,1106,0.801,0,98.33,92.4,92.4,0.601,0.675,NA,35.82,0,145.7,NA,15.74,0,"Full",0.997224126646534
"759","ul5-3","10/21/21_ul5-3",2021-10-21,"u",11:12:20,3,30,53,18,35,6.4,0.41,"e",4,11:16:22,1,5,249,988,249,988,0.748,0,91.03,82.32,82.32,1.016,0.548,NA,25.39,0,166.2,NA,10.61,0,"Full",0.997224126646534
"760","ul5-4","10/21/21_ul5-4",2021-10-21,"u",11:16:47,4,30,80,11,35,9.7,0.94,"f",4,11:20:49,1,5,218,891,218,891,0.755,0,65.53,62.58,62.58,0.896,0.565,NA,39.99,0,116,NA,19.2,0,"Full",0.997224126646534
"761","hm6-1","10/21/21_hm6-1",2021-10-21,"h",11:21:12,1,30,14,35,36,1.7,0.001,"b",4,11:25:14,1,6,125,236,125,236,0.47,0,49.35,58.22,48.45,0.503,0.47,NA,17.19,0,105,NA,8.59,0,"Full",0.997224126646534
"762","hm6-2","10/21/21_hm6-2",2021-10-21,"h",11:25:49,2,30,27,28,36,3.3,0.037,"c",4,11:29:51,1,6,126,298,126,298,0.577,0,58.67,71.34,57.54,0.774,0.645,NA,26.25,0,90.9,NA,13.92,0,"Full",0.997224126646534
"763","hm6-3","10/21/21_hm6-3",2021-10-21,"h",11:30:26,3,30,53,18,36,6.4,0.41,"e",4,11:34:29,1,6,128,261,128,261,0.51,0,66.89,73.8,68.75,0.684,0.565,NA,36.46,0,118.3,NA,17.37,0,"Full",0.997224126646534
"764","hm6-4","10/21/21_hm6-4",2021-10-21,"h",11:35:06,4,30,80,11,36,9.7,0.94,"f",4,11:39:09,1,6,100,182,100,182,0.451,0,44.49,50.02,44.1,0.368,0.396,NA,13.79,0,112.4,NA,6.71,0.001,"Full",0.997224126646534
"765","ul6-1","10/21/21_ul6-1",2021-10-21,"u",11:39:45,1,30,14,35,36,1.7,0.001,"b",4,11:43:47,1,6,219,767,219,767,0.714,0,62.75,59.56,59.56,0.88,0.563,NA,25.67,0,111.6,NA,12.52,0,"Full",0.997224126646534
"766","ul6-2","10/21/21_ul6-2",2021-10-21,"u",11:45:15,2,30,27,28,36,3.3,0.037,"c",4,11:49:17,1,6,215,817,215,817,0.737,0,41.65,44.17,44.17,0.641,0.867,NA,10.49,0,48,NA,7.27,0,"Full",0.997224126646534
"767","ul6-3","10/21/21_ul6-3",2021-10-21,"u",11:49:54,3,30,53,18,36,6.4,0.41,"e",4,11:53:57,1,6,187,544,187,544,0.656,0,47.03,48.17,48.17,0.7,0.614,NA,13.68,0,76.6,NA,7.79,0,"Full",0.997224126646534
"768","ul6-4","10/21/21_ul6-4",2021-10-21,"u",11:54:44,4,30,80,11,36,9.7,0.94,"f",4,11:58:46,1,6,196,643,196,643,0.695,0,54.75,55.44,55.44,0.766,0.601,NA,29.71,0,91.1,NA,15.74,0,"Full",0.997224126646534
"769","hm2-1","10/25/21_hm2-1",2021-10-25,"h",07:59:01,1,20,14,35,32,1.7,0.001,"b",4,08:03:03,5,1,115,280,115,280,0.589,0,61.23,64.78,60.99,0.591,0.754,NA,31.73,0,81.2,NA,17.62,0,"Waning",0.8306402241716
"770","hm2-2","10/25/21_hm2-2",2021-10-25,"h",08:03:34,2,20,27,28,32,3.3,0.037,"c",4,08:07:36,5,1,126,284,126,284,0.556,0,78.77,74.67,74.67,0.605,0.693,NA,35.04,0,113.7,NA,16.97,0,"Waning",0.8306402241716
"771","hm2-3","10/25/21_hm2-3",2021-10-25,"h",08:08:08,3,20,53,18,32,6.4,0.41,"e",4,08:12:10,5,1,131,278,131,278,0.529,0,37.87,37.34,37.34,0.397,0.762,NA,12.12,0,49.7,NA,8.28,0,"Waning",0.8306402241716
"772","hm2-4","10/25/21_hm2-4",2021-10-25,"h",08:12:29,4,20,80,11,32,9.7,0.94,"f",4,08:16:31,5,1,104,209,104,209,0.502,0,46.86,63.96,47.31,0.282,0.534,NA,12.86,0,87.7,NA,6.91,0,"Waning",0.8306402241716
"773","ul2-1","10/25/21_ul2-1",2021-10-25,"u",08:16:51,1,20,14,35,32,1.7,0.001,"b",4,08:20:53,5,1,210,1023,210,1023,0.795,0,73.35,72.24,72.24,0.457,0.685,NA,31.08,0,107.1,NA,15.41,0,"Waning",0.8306402241716
"774","ul2-2","10/25/21_ul2-2",2021-10-25,"u",08:21:37,2,20,27,28,32,3.3,0.037,"c",4,08:25:39,5,1,259,1128,259,1128,0.77,0,45.26,47.6,47.6,0.558,0.79,NA,10,0,57.3,NA,6.44,0.001,"Waning",0.8306402241716
"775","ul2-3","10/25/21_ul2-3",2021-10-25,"u",08:26:00,3,20,53,18,32,6.4,0.41,"e",4,08:30:02,5,1,280,1326,280,1326,0.789,0,69.99,71.4,71.4,0.451,0.71,NA,51.41,0,98.5,NA,26.36,0,"Waning",0.8306402241716
"776","ul2-4","10/25/21_ul2-4",2021-10-25,"u",08:30:39,4,20,80,11,32,9.7,0.94,"f",4,08:34:41,5,1,260,1218,260,1218,0.787,0,78.55,77.7,77.7,0.73,0.697,NA,36.83,0,112.7,NA,17.89,0,"Waning",0.8306402241716
"777","hm3-1","10/25/21_hm3-1",2021-10-25,"h",08:35:08,1,27,14,35,33,1.7,0.001,"b",4,08:39:11,5,2,92,247,92,247,0.628,0,44.83,46.62,46.62,0.83,0.837,NA,26.78,0,53.5,NA,17.74,0,"Waning",0.8306402241716
"778","hm3-2","10/25/21_hm3-2",2021-10-25,"h",08:39:30,2,27,27,28,33,3.3,0.037,"c",4,08:43:33,5,2,96,267,96,267,0.64,0,40.26,48.38,41.61,0.701,0.781,NA,26.87,0,51.5,NA,18.09,0,"Waning",0.8306402241716
"779","hm3-3","10/25/21_hm3-3",2021-10-25,"h",08:44:15,3,27,53,18,33,6.4,0.41,"e",4,08:48:17,5,2,136,387,136,387,0.649,0,33.09,42.64,36.48,0.906,1.404,NA,5.21,0.002,23.6,NA,4.64,0.004,"Waning",0.8306402241716
"780","hm3-4","10/25/21_hm3-4",2021-10-25,"h",08:48:39,4,27,80,11,33,9.7,0.94,"f",4,08:52:41,5,2,120,278,120,278,0.568,0,34.06,36.08,35.64,0.645,0.749,NA,3.16,0.02,45.5,NA,2.24,0.067,"Waning",0.8306402241716
"781","ul3-1","10/25/21_ul3-1",2021-10-25,"u",08:52:58,1,27,14,35,33,1.7,0.001,"b",4,08:57:00,5,2,236,973,236,973,0.757,0,44.98,46.55,46.55,0.431,0.856,NA,8.73,0,52.5,NA,5.83,0.001,"Waning",0.8306402241716
"782","ul3-2","10/25/21_ul3-2",2021-10-25,"u",08:57:30,2,27,27,28,33,3.3,0.037,"c",4,09:01:02,5,2,313,1240,313,1240,0.748,0,28.03,29.52,29.52,0.535,2.614,NA,0.14,0.892,10.7,NA,0.14,0.893,"Waning",0.8306402241716
"783","ul3-3","10/25/21_ul3-3",2021-10-25,"u",09:02:12,3,27,53,18,33,6.4,0.41,"e",4,09:06:14,5,2,249,1142,249,1142,0.782,0,70.18,71.4,71.4,0.301,0.74,NA,36.44,0,94.8,NA,18.99,0,"Waning",0.8306402241716
"784","ul3-4","10/25/21_ul3-4",2021-10-25,"u",09:06:32,4,27,80,11,33,9.7,0.94,"f",4,09:10:34,5,2,236,1104,236,1104,0.786,0,75.42,74.39,74.39,0.406,0.786,NA,20.38,0,96,NA,10.56,0,"Waning",0.8306402241716
"785","hm4-1","10/25/21_hm4-1",2021-10-25,"h",09:10:52,1,27,14,35,34,1.7,0.001,"b",4,09:14:54,5,3,87,237,87,237,0.633,0,35.48,46.74,38.48,0.881,4.419,NA,0.05,0.96,8,NA,0.05,0.96,"Waning",0.8306402241716
"786","hm4-2","10/25/21_hm4-2",2021-10-25,"h",09:15:11,2,27,27,28,34,3.3,0.037,"c",4,09:19:14,5,3,122,339,122,339,0.64,0,39.14,46.2,46.2,0.971,1.585,NA,4.94,0.003,24.7,NA,4.35,0.005,"Waning",0.8306402241716
"787","hm4-3","10/25/21_hm4-3",2021-10-25,"h",09:19:32,3,27,53,18,34,6.4,0.41,"e",4,09:23:34,5,3,94,268,94,268,0.649,0,42.59,44.28,42.88,0.956,1.342,NA,5.61,0.001,31.7,NA,4.57,0.004,"Waning",0.8306402241716
"788","hm4-4","10/25/21_hm4-4",2021-10-25,"h",09:24:05,4,27,80,11,34,9.7,0.94,"f",4,09:28:08,5,3,112,266,112,266,0.579,0,44.1,48.38,42.75,0.663,0.841,NA,4.95,0.003,52.4,NA,3.31,0.016,"Waning",0.8306402241716
"789","ul4-1","10/25/21_ul4-1",2021-10-25,"u",09:28:26,1,27,14,35,34,1.7,0.001,"b",4,09:32:29,5,3,257,1182,257,1182,0.783,0,47.81,50.16,50.16,0.456,0.908,NA,9.05,0,52.7,NA,6.04,0.001,"Waning",0.8306402241716
