#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Up,Button Down,Host Connected,End of File
1243,08/03/2024 00:00:00,25.984,,,
531,08/07/2024 05:00:00,24.365,,,,
532,08/07/2024 05:10:00,24.332,,,,
533,08/07/2024 05:20:00,24.311,,,,
534,08/07/2024 05:30:00,24.279,,,,
535,08/07/2024 05:40:00,24.247,,,,
536,08/07/2024 05:50:00,24.214,,,,
537,08/07/2024 06:00:00,24.193,,,,
538,08/07/2024 06:10:00,24.172,,,,
539,08/07/2024 06:20:00,24.161,,,,
540,08/07/2024 06:30:00,24.139,,,,
541,08/07/2024 06:40:00,24.139,,,,
542,08/07/2024 06:50:00,24.139,,,,
543,08/07/2024 07:00:00,24.139,,,,
544,08/07/2024 07:10:00,24.150,,,,
545,08/07/2024 07:20:00,24.172,,,,
546,08/07/2024 07:30:00,24.182,,,,
547,08/07/2024 07:40:00,24.204,,,,
548,08/07/2024 07:50:00,24.225,,,,
549,08/07/2024 08:00:00,24.268,,,,
550,08/07/2024 08:10:00,24.311,,,,
551,08/07/2024 08:20:00,24.332,,,,
552,08/07/2024 08:30:00,24.386,,,,
553,08/07/2024 08:40:00,24.429,,,,
554,08/07/2024 08:50:00,24.493,,,,
555,08/07/2024 09:00:00,24.547,,,,
556,08/07/2024 09:10:00,24.601,,,,
557,08/07/2024 09:20:00,24.633,,,,
558,08/07/2024 09:30:00,24.686,,,,
559,08/07/2024 09:40:00,24.719,,,,
560,08/07/2024 09:50:00,24.794,,,,
561,08/07/2024 10:00:00,24.869,,,,
562,08/07/2024 10:10:00,24.912,,,,
563,08/07/2024 10:20:00,24.976,,,,
564,08/07/2024 10:30:00,25.083,,,,
565,08/07/2024 10:40:00,25.137,,,,
566,08/07/2024 10:50:00,25.373,,,,
567,08/07/2024 11:00:00,25.459,,,,
568,08/07/2024 11:10:00,25.544,,,,
569,08/07/2024 11:20:00,25.673,,,,
570,08/07/2024 11:30:00,25.802,,,,
571,08/07/2024 11:40:00,25.952,,,,
572,08/07/2024 11:50:00,26.091,,,,
573,08/07/2024 12:00:00,26.252,,,,
574,08/07/2024 12:10:00,26.413,,,,
575,08/07/2024 12:20:00,26.435,,,,
576,08/07/2024 12:30:00,26.671,,,,
577,08/07/2024 12:40:00,26.896,,,,
578,08/07/2024 12:50:00,27.014,,,,
579,08/07/2024 13:00:00,27.121,,,,
580,08/07/2024 13:10:00,27.185,,,,
581,08/07/2024 13:20:00,27.336,,,,
582,08/07/2024 13:30:00,27.432,,,,
583,08/07/2024 13:40:00,27.561,,,,
584,08/07/2024 13:50:00,27.689,,,,
585,08/07/2024 14:00:00,27.797,,,,
586,08/07/2024 14:10:00,27.915,,,,
587,08/07/2024 14:20:00,28.043,,,,
588,08/07/2024 14:30:00,28.161,,,,
589,08/07/2024 14:40:00,28.258,,,,
590,08/07/2024 14:50:00,28.365,,,,
591,08/07/2024 15:00:00,28.483,,,,
592,08/07/2024 15:10:00,28.590,,,,
593,08/07/2024 15:20:00,28.687,,,,
594,08/07/2024 15:30:00,28.783,,,,
595,08/07/2024 15:40:00,28.869,,,,
596,08/07/2024 15:50:00,28.976,,,,
597,08/07/2024 16:00:00,29.094,,,,
598,08/07/2024 16:10:00,29.191,,,,
599,08/07/2024 16:20:00,29.309,,,,
600,08/07/2024 16:30:00,29.255,,,,
601,08/07/2024 16:40:00,29.234,,,,
602,08/07/2024 16:50:00,29.287,,,,
603,08/07/2024 17:00:00,29.363,,,,
604,08/07/2024 17:10:00,29.395,,,,
605,08/07/2024 17:20:00,29.459,,,,
606,08/07/2024 17:30:00,29.502,,,,
607,08/07/2024 17:40:00,29.438,,,,
608,08/07/2024 17:50:00,29.363,,,,
609,08/07/2024 18:00:00,29.320,,,,
610,08/07/2024 18:10:00,29.234,,,,
611,08/07/2024 18:20:00,29.159,,,,
612,08/07/2024 18:30:00,29.105,,,,
613,08/07/2024 18:40:00,29.030,,,,
614,08/07/2024 18:50:00,28.955,,,,
615,08/07/2024 19:00:00,28.880,,,,
616,08/07/2024 19:10:00,28.826,,,,
617,08/07/2024 19:20:00,28.740,,,,
618,08/07/2024 19:30:00,28.687,,,,
619,08/07/2024 19:40:00,28.601,,,,
620,08/07/2024 19:50:00,28.515,,,,
621,08/07/2024 20:00:00,28.429,,,,
622,08/07/2024 20:10:00,28.365,,,,
623,08/07/2024 20:20:00,28.279,,,,
624,08/07/2024 20:30:00,28.204,,,,
625,08/07/2024 20:40:00,28.140,,,,
626,08/07/2024 20:50:00,28.065,,,,
627,08/07/2024 21:00:00,27.990,,,,
628,08/07/2024 21:10:00,27.915,,,,
629,08/07/2024 21:20:00,27.829,,,,
630,08/07/2024 21:30:00,27.765,,,,
631,08/07/2024 21:40:00,27.700,,,,
632,08/07/2024 21:50:00,27.625,,,,
633,08/07/2024 22:00:00,27.561,,,,
634,08/07/2024 22:10:00,27.496,,,,
635,08/07/2024 22:20:00,27.432,,,,
636,08/07/2024 22:30:00,27.389,,,,
637,08/07/2024 22:40:00,27.336,,,,
638,08/07/2024 22:50:00,27.271,,,,
639,08/07/2024 23:00:00,27.218,,,,
640,08/07/2024 23:10:00,27.153,,,,
641,08/07/2024 23:20:00,27.100,,,,
642,08/07/2024 23:30:00,27.046,,,,
643,08/07/2024 23:40:00,26.982,,,,
644,08/07/2024 23:50:00,26.928,,,,
645,08/08/2024 00:00:00,26.885,,,,
646,08/08/2024 00:10:00,26.842,,,,
647,08/08/2024 00:20:00,26.810,,,,
648,08/08/2024 00:30:00,26.767,,,,
649,08/08/2024 00:40:00,26.724,,,,
650,08/08/2024 00:50:00,26.681,,,,
651,08/08/2024 01:00:00,26.638,,,,
652,08/08/2024 01:10:00,26.585,,,,
653,08/08/2024 01:20:00,26.531,,,,
654,08/08/2024 01:30:00,26.477,,,,
655,08/08/2024 01:40:00,26.424,,,,
656,08/08/2024 01:50:00,26.381,,,,
657,08/08/2024 02:00:00,26.327,,,,
658,08/08/2024 02:10:00,26.274,,,,
659,08/08/2024 02:20:00,26.242,,,,
660,08/08/2024 02:30:00,26.209,,,,
661,08/08/2024 02:40:00,26.156,,,,
662,08/08/2024 02:50:00,26.102,,,,
663,08/08/2024 03:00:00,26.038,,,,
664,08/08/2024 03:10:00,25.984,,,,
665,08/08/2024 03:20:00,25.941,,,,
666,08/08/2024 03:30:00,25.898,,,,
667,08/08/2024 03:40:00,25.834,,,,
668,08/08/2024 03:50:00,25.802,,,,
669,08/08/2024 04:00:00,25.748,,,,
670,08/08/2024 04:10:00,25.705,,,,
671,08/08/2024 04:20:00,25.662,,,,
672,08/08/2024 04:30:00,25.619,,,,
673,08/08/2024 04:40:00,25.577,,,,
674,08/08/2024 04:50:00,25.523,,,,
675,08/08/2024 05:00:00,25.480,,,,
676,08/08/2024 05:10:00,25.437,,,,
677,08/08/2024 05:20:00,25.394,,,,
678,08/08/2024 05:30:00,25.351,,,,
679,08/08/2024 05:40:00,25.319,,,,
680,08/08/2024 05:50:00,25.287,,,,
681,08/08/2024 06:00:00,25.244,,,,
682,08/08/2024 06:10:00,25.223,,,,
683,08/08/2024 06:20:00,25.190,,,,
684,08/08/2024 06:30:00,25.169,,,,
685,08/08/2024 06:40:00,25.137,,,,
686,08/08/2024 06:50:00,25.115,,,,
687,08/08/2024 07:00:00,25.105,,,,
688,08/08/2024 07:10:00,25.083,,,,
689,08/08/2024 07:20:00,25.083,,,,
690,08/08/2024 07:30:00,25.083,,,,
691,08/08/2024 07:40:00,25.083,,,,
692,08/08/2024 07:50:00,25.083,,,,
693,08/08/2024 08:00:00,25.126,,,,
694,08/08/2024 08:10:00,25.105,,,,
695,08/08/2024 08:20:00,25.094,,,,
696,08/08/2024 08:30:00,25.148,,,,
697,08/08/2024 08:40:00,25.180,,,,
698,08/08/2024 08:50:00,25.201,,,,
699,08/08/2024 09:00:00,25.212,,,,
700,08/08/2024 09:10:00,25.233,,,,
701,08/08/2024 09:20:00,25.266,,,,
702,08/08/2024 09:30:00,25.287,,,,
703,08/08/2024 09:40:00,25.362,,,,
704,08/08/2024 09:50:00,25.459,,,,
705,08/08/2024 10:00:00,25.459,,,,
706,08/08/2024 10:10:00,25.512,,,,
707,08/08/2024 10:20:00,25.609,,,,
708,08/08/2024 10:30:00,25.802,,,,
709,08/08/2024 10:40:00,25.920,,,,
710,08/08/2024 10:50:00,26.038,,,,
711,08/08/2024 11:00:00,26.156,,,,
712,08/08/2024 11:10:00,26.242,,,,
713,08/08/2024 11:20:00,26.413,,,,
714,08/08/2024 11:30:00,26.585,,,,
715,08/08/2024 11:40:00,26.735,,,,
716,08/08/2024 11:50:00,26.885,,,,
717,08/08/2024 12:00:00,27.046,,,,
718,08/08/2024 12:10:00,27.218,,,,
719,08/08/2024 12:20:00,27.368,,,,
720,08/08/2024 12:30:00,27.518,,,,
721,08/08/2024 12:40:00,27.507,,,,
722,08/08/2024 12:50:00,27.636,,,,
723,08/08/2024 13:00:00,27.625,,,,
724,08/08/2024 13:10:00,27.711,,,,
725,08/08/2024 13:20:00,27.797,,,,
726,08/08/2024 13:30:00,27.861,,,,
727,08/08/2024 13:40:00,27.872,,,,
728,08/08/2024 13:50:00,28.000,,,,
729,08/08/2024 14:00:00,27.990,,,,
730,08/08/2024 14:10:00,28.086,,,,
731,08/08/2024 14:20:00,28.194,,,,
732,08/08/2024 14:30:00,28.290,,,,
733,08/08/2024 14:40:00,28.365,,,,
734,08/08/2024 14:50:00,28.462,,,,
735,08/08/2024 15:00:00,28.537,,,,
736,08/08/2024 15:10:00,28.655,,,,
737,08/08/2024 15:20:00,28.708,,,,
738,08/08/2024 15:30:00,28.848,,,,
739,08/08/2024 15:40:00,28.912,,,,
740,08/08/2024 15:50:00,28.944,,,,
741,08/08/2024 16:00:00,29.052,,,,
742,08/08/2024 16:10:00,29.137,,,,
743,08/08/2024 16:20:00,29.137,,,,
744,08/08/2024 16:30:00,29.062,,,,
745,08/08/2024 16:40:00,29.169,,,,
746,08/08/2024 16:50:00,29.212,,,,
747,08/08/2024 17:00:00,29.223,,,,
748,08/08/2024 17:10:00,29.234,,,,
749,08/08/2024 17:20:00,29.116,,,,
750,08/08/2024 17:30:00,29.202,,,,
751,08/08/2024 17:40:00,29.062,,,,
752,08/08/2024 17:50:00,28.987,,,,
753,08/08/2024 18:00:00,28.912,,,,
754,08/08/2024 18:10:00,28.837,,,,
755,08/08/2024 18:20:00,28.762,,,,
756,08/08/2024 18:30:00,28.687,,,,
757,08/08/2024 18:40:00,28.590,,,,
758,08/08/2024 18:50:00,28.515,,,,
759,08/08/2024 19:00:00,28.429,,,,
760,08/08/2024 19:10:00,28.354,,,,
761,08/08/2024 19:20:00,28.279,,,,
762,08/08/2024 19:30:00,28.194,,,,
763,08/08/2024 19:40:00,28.097,,,,
764,08/08/2024 19:50:00,28.011,,,,
765,08/08/2024 20:00:00,27.936,,,,
766,08/08/2024 20:10:00,27.850,,,,
767,08/08/2024 20:20:00,27.765,,,,
768,08/08/2024 20:30:00,27.679,,,,
769,08/08/2024 20:40:00,27.593,,,,
770,08/08/2024 20:50:00,27.518,,,,
771,08/08/2024 21:00:00,27.443,,,,
772,08/08/2024 21:10:00,27.357,,,,
773,08/08/2024 21:20:00,27.282,,,,
774,08/08/2024 21:30:00,27.218,,,,
775,08/08/2024 21:40:00,27.132,,,,
776,08/08/2024 21:50:00,27.067,,,,
777,08/08/2024 22:00:00,26.992,,,,
778,08/08/2024 22:10:00,26.928,,,,
779,08/08/2024 22:20:00,26.853,,,,
780,08/08/2024 22:30:00,26.789,,,,
781,08/08/2024 22:40:00,26.724,,,,
782,08/08/2024 22:50:00,26.660,,,,
783,08/08/2024 23:00:00,26.585,,,,
784,08/08/2024 23:10:00,26.531,,,,
785,08/08/2024 23:20:00,26.467,,,,
786,08/08/2024 23:30:00,26.413,,,,
787,08/08/2024 23:40:00,26.349,,,,
788,08/08/2024 23:50:00,26.295,,,,
789,08/09/2024 00:00:00,26.242,,,,
790,08/09/2024 00:10:00,26.166,,,,
791,08/09/2024 00:20:00,26.102,,,,
792,08/09/2024 00:30:00,26.059,,,,
793,08/09/2024 00:40:00,25.984,,,,
794,08/09/2024 00:50:00,25.920,,,,
795,08/09/2024 01:00:00,25.866,,,,
796,08/09/2024 01:10:00,25.802,,,,
797,08/09/2024 01:20:00,25.748,,,,
798,08/09/2024 01:30:00,25.684,,,,
799,08/09/2024 01:40:00,25.619,,,,
800,08/09/2024 01:50:00,25.566,,,,
801,08/09/2024 02:00:00,25.523,,,,
802,08/09/2024 02:10:00,25.459,,,,
803,08/09/2024 02:20:00,25.394,,,,
804,08/09/2024 02:30:00,25.351,,,,
805,08/09/2024 02:40:00,25.287,,,,
806,08/09/2024 02:50:00,25.255,,,,
807,08/09/2024 03:00:00,25.201,,,,
808,08/09/2024 03:10:00,25.148,,,,
809,08/09/2024 03:20:00,25.105,,,,
810,08/09/2024 03:30:00,25.062,,,,
811,08/09/2024 03:40:00,25.008,,,,
812,08/09/2024 03:50:00,24.965,,,,
813,08/09/2024 04:00:00,24.922,,,,
814,08/09/2024 04:10:00,24.879,,,,
815,08/09/2024 04:20:00,24.826,,,,
816,08/09/2024 04:30:00,24.794,,,,
817,08/09/2024 04:40:00,24.740,,,,
818,08/09/2024 04:50:00,24.719,,,,
819,08/09/2024 05:00:00,24.665,,,,
820,08/09/2024 05:10:00,24.633,,,,
821,08/09/2024 05:20:00,24.601,,,,
822,08/09/2024 05:30:00,24.547,,,,
823,08/09/2024 05:40:00,24.515,,,,
824,08/09/2024 05:50:00,24.472,,,,
825,08/09/2024 06:00:00,24.429,,,,
826,08/09/2024 06:10:00,24.386,,,,
827,08/09/2024 06:20:00,24.354,,,,
828,08/09/2024 06:30:00,24.322,,,,
829,08/09/2024 06:40:00,24.290,,,,
830,08/09/2024 06:50:00,24.268,,,,
831,08/09/2024 07:00:00,24.257,,,,
832,08/09/2024 07:10:00,24.247,,,,
833,08/09/2024 07:20:00,24.236,,,,
834,08/09/2024 07:30:00,24.236,,,,
835,08/09/2024 07:40:00,24.236,,,,
836,08/09/2024 07:50:00,24.236,,,,
837,08/09/2024 08:00:00,24.300,,,,
838,08/09/2024 08:10:00,24.279,,,,
839,08/09/2024 08:20:00,24.279,,,,
840,08/09/2024 08:30:00,24.343,,,,
841,08/09/2024 08:40:00,24.365,,,,
842,08/09/2024 08:50:00,24.418,,,,
843,08/09/2024 09:00:00,24.472,,,,
844,08/09/2024 09:10:00,24.504,,,,
845,08/09/2024 09:20:00,24.579,,,,
846,08/09/2024 09:30:00,24.622,,,,
847,08/09/2024 09:40:00,24.665,,,,
848,08/09/2024 09:50:00,24.794,,,,
849,08/09/2024 10:00:00,24.826,,,,
850,08/09/2024 10:10:00,24.901,,,,
851,08/09/2024 10:20:00,24.997,,,,
852,08/09/2024 10:30:00,25.169,,,,
853,08/09/2024 10:40:00,25.298,,,,
854,08/09/2024 10:50:00,25.373,,,,
855,08/09/2024 11:00:00,25.480,,,,
856,08/09/2024 11:10:00,25.598,,,,
857,08/09/2024 11:20:00,25.759,,,,
858,08/09/2024 11:30:00,25.920,,,,
859,08/09/2024 11:40:00,26.177,,,,
860,08/09/2024 11:50:00,26.488,,,,
861,08/09/2024 12:00:00,26.563,,,,
862,08/09/2024 12:10:00,26.563,,,,
863,08/09/2024 12:20:00,26.563,,,,
864,08/09/2024 12:30:00,26.638,,,,
865,08/09/2024 12:40:00,26.789,,,,
866,08/09/2024 12:50:00,27.057,,,,
867,08/09/2024 13:00:00,27.164,,,,
868,08/09/2024 13:10:00,27.250,,,,
869,08/09/2024 13:20:00,27.325,,,,
870,08/09/2024 13:30:00,27.464,,,,
871,08/09/2024 13:40:00,27.604,,,,
872,08/09/2024 13:50:00,27.668,,,,
873,08/09/2024 14:00:00,27.818,,,,
874,08/09/2024 14:10:00,27.936,,,,
875,08/09/2024 14:20:00,27.968,,,,
876,08/09/2024 14:30:00,28.172,,,,
877,08/09/2024 14:40:00,28.161,,,,
878,08/09/2024 14:50:00,28.344,,,,
879,08/09/2024 15:00:00,28.472,,,,
880,08/09/2024 15:10:00,28.515,,,,
881,08/09/2024 15:20:00,28.655,,,,
882,08/09/2024 15:30:00,28.708,,,,
883,08/09/2024 15:40:00,28.773,,,,
884,08/09/2024 15:50:00,28.783,,,,
885,08/09/2024 16:00:00,28.826,,,,
886,08/09/2024 16:10:00,28.944,,,,
887,08/09/2024 16:20:00,28.934,,,,
888,08/09/2024 16:30:00,28.858,,,,
889,08/09/2024 16:40:00,28.762,,,,
890,08/09/2024 16:50:00,28.719,,,,
891,08/09/2024 17:00:00,28.698,,,,
892,08/09/2024 17:10:00,28.687,,,,
893,08/09/2024 17:20:00,28.665,,,,
894,08/09/2024 17:30:00,28.612,,,,
895,08/09/2024 17:40:00,28.558,,,,
896,08/09/2024 17:50:00,28.537,,,,
897,08/09/2024 18:00:00,28.483,,,,
898,08/09/2024 18:10:00,28.440,,,,
899,08/09/2024 18:20:00,28.408,,,,
900,08/09/2024 18:30:00,28.365,,,,
901,08/09/2024 18:40:00,28.311,,,,
902,08/09/2024 18:50:00,28.258,,,,
903,08/09/2024 19:00:00,28.215,,,,
904,08/09/2024 19:10:00,28.151,,,,
905,08/09/2024 19:20:00,28.097,,,,
906,08/09/2024 19:30:00,28.043,,,,
907,08/09/2024 19:40:00,27.990,,,,
908,08/09/2024 19:50:00,27.936,,,,
909,08/09/2024 20:00:00,27.882,,,,
910,08/09/2024 20:10:00,27.840,,,,
911,08/09/2024 20:20:00,27.775,,,,
912,08/09/2024 20:30:00,27.722,,,,
913,08/09/2024 20:40:00,27.668,,,,
914,08/09/2024 20:50:00,27.614,,,,
915,08/09/2024 21:00:00,27.561,,,,
916,08/09/2024 21:10:00,27.507,,,,
917,08/09/2024 21:20:00,27.453,,,,
918,08/09/2024 21:30:00,27.411,,,,
919,08/09/2024 21:40:00,27.357,,,,
920,08/09/2024 21:50:00,27.314,,,,
921,08/09/2024 22:00:00,27.271,,,,
922,08/09/2024 22:10:00,27.228,,,,
923,08/09/2024 22:20:00,27.185,,,,
924,08/09/2024 22:30:00,27.153,,,,
925,08/09/2024 22:40:00,27.110,,,,
926,08/09/2024 22:50:00,27.078,,,,
927,08/09/2024 23:00:00,27.046,,,,
928,08/09/2024 23:10:00,27.003,,,,
929,08/09/2024 23:20:00,26.960,,,,
930,08/09/2024 23:30:00,26.928,,,,
931,08/09/2024 23:40:00,26.896,,,,
932,08/09/2024 23:50:00,26.864,,,,
933,08/10/2024 00:00:00,26.831,,,,
934,08/10/2024 00:10:00,26.789,,,,
935,08/10/2024 00:20:00,26.756,,,,
936,08/10/2024 00:30:00,26.724,,,,
937,08/10/2024 00:40:00,26.692,,,,
938,08/10/2024 00:50:00,26.649,,,,
939,08/10/2024 01:00:00,26.617,,,,
940,08/10/2024 01:10:00,26.585,,,,
941,08/10/2024 01:20:00,26.553,,,,
942,08/10/2024 01:30:00,26.531,,,,
943,08/10/2024 01:40:00,26.499,,,,
944,08/10/2024 01:50:00,26.467,,,,
945,08/10/2024 02:00:00,26.435,,,,
946,08/10/2024 02:10:00,26.413,,,,
947,08/10/2024 02:20:00,26.392,,,,
948,08/10/2024 02:30:00,26.360,,,,
949,08/10/2024 02:40:00,26.317,,,,
950,08/10/2024 02:50:00,26.263,,,,
951,08/10/2024 03:00:00,26.220,,,,
952,08/10/2024 03:10:00,26.177,,,,
953,08/10/2024 03:20:00,26.134,,,,
954,08/10/2024 03:30:00,26.091,,,,
955,08/10/2024 03:40:00,26.048,,,,
956,08/10/2024 03:50:00,26.006,,,,
957,08/10/2024 04:00:00,25.931,,,,
958,08/10/2024 04:10:00,25.866,,,,
959,08/10/2024 04:20:00,25.791,,,,
960,08/10/2024 04:30:00,25.737,,,,
961,08/10/2024 04:40:00,25.673,,,,
962,08/10/2024 04:50:00,25.619,,,,
963,08/10/2024 05:00:00,25.555,,,,
964,08/10/2024 05:10:00,25.502,,,,
965,08/10/2024 05:20:00,25.437,,,,
966,08/10/2024 05:30:00,25.373,,,,
967,08/10/2024 05:40:00,25.330,,,,
968,08/10/2024 05:50:00,25.287,,,,
969,08/10/2024 06:00:00,25.233,,,,
970,08/10/2024 06:10:00,25.201,,,,
971,08/10/2024 06:20:00,25.158,,,,
972,08/10/2024 06:30:00,25.126,,,,
973,08/10/2024 06:40:00,25.073,,,,
974,08/10/2024 06:50:00,24.944,,,,
975,08/10/2024 07:00:00,24.804,,,,
976,08/10/2024 07:10:00,24.697,,,,
977,08/10/2024 07:20:00,24.622,,,,
978,08/10/2024 07:30:00,24.558,,,,
979,08/10/2024 07:40:00,24.536,,,,
980,08/10/2024 07:50:00,24.515,,,,
981,08/10/2024 08:00:00,24.515,,,,
982,08/10/2024 08:10:00,24.536,,,,
983,08/10/2024 08:20:00,24.536,,,,
984,08/10/2024 08:30:00,24.547,,,,
985,08/10/2024 08:40:00,24.568,,,,
986,08/10/2024 08:50:00,24.579,,,,
987,08/10/2024 09:00:00,24.601,,,,
988,08/10/2024 09:10:00,24.601,,,,
989,08/10/2024 09:20:00,24.633,,,,
990,08/10/2024 09:30:00,24.633,,,,
991,08/10/2024 09:40:00,24.686,,,,
992,08/10/2024 09:50:00,24.729,,,,
993,08/10/2024 10:00:00,24.751,,,,
994,08/10/2024 10:10:00,24.837,,,,
995,08/10/2024 10:20:00,24.879,,,,
996,08/10/2024 10:30:00,24.901,,,,
997,08/10/2024 10:40:00,25.073,,,,
998,08/10/2024 10:50:00,25.115,,,,
999,08/10/2024 11:00:00,25.030,,,,
1000,08/10/2024 11:10:00,25.148,,,,
1001,08/10/2024 11:20:00,25.330,,,,
1002,08/10/2024 11:30:00,25.437,,,,
1003,08/10/2024 11:40:00,25.534,,,,
1004,08/10/2024 11:50:00,25.630,,,,
1005,08/10/2024 12:00:00,25.727,,,,
1006,08/10/2024 12:10:00,25.802,,,,
1007,08/10/2024 12:20:00,25.952,,,,
1008,08/10/2024 12:30:00,25.963,,,,
1009,08/10/2024 12:40:00,26.166,,,,
1010,08/10/2024 12:50:00,26.327,,,,
1011,08/10/2024 13:00:00,26.435,,,,
1012,08/10/2024 13:10:00,26.510,,,,
1013,08/10/2024 13:20:00,26.606,,,,
1014,08/10/2024 13:30:00,26.671,,,,
1015,08/10/2024 13:40:00,26.756,,,,
1016,08/10/2024 13:50:00,26.821,,,,
1017,08/10/2024 14:00:00,26.864,,,,
1018,08/10/2024 14:10:00,27.003,,,,
1019,08/10/2024 14:20:00,27.046,,,,
1020,08/10/2024 14:30:00,27.271,,,,
1021,08/10/2024 14:40:00,27.303,,,,
1022,08/10/2024 14:50:00,27.271,,,,
1023,08/10/2024 15:00:00,27.336,,,,
1024,08/10/2024 15:10:00,27.378,,,,
1025,08/10/2024 15:20:00,27.421,,,,
1026,08/10/2024 15:30:00,27.443,,,,
1027,08/10/2024 15:40:00,27.464,,,,
1028,08/10/2024 15:50:00,27.464,,,,
1029,08/10/2024 16:00:00,27.443,,,,
1030,08/10/2024 16:10:00,27.389,,,,
1031,08/10/2024 16:20:00,27.357,,,,
1032,08/10/2024 16:30:00,27.336,,,,
1033,08/10/2024 16:40:00,27.314,,,,
1034,08/10/2024 16:50:00,27.293,,,,
1035,08/10/2024 17:00:00,27.271,,,,
1036,08/10/2024 17:10:00,27.293,,,,
1037,08/10/2024 17:20:00,27.378,,,,
1038,08/10/2024 17:30:00,27.336,,,,
1039,08/10/2024 17:40:00,27.314,,,,
1040,08/10/2024 17:50:00,27.303,,,,
1041,08/10/2024 18:00:00,27.260,,,,
1042,08/10/2024 18:10:00,27.228,,,,
1043,08/10/2024 18:20:00,27.196,,,,
1044,08/10/2024 18:30:00,27.164,,,,
1045,08/10/2024 18:40:00,27.121,,,,
1046,08/10/2024 18:50:00,27.078,,,,
1047,08/10/2024 19:00:00,27.035,,,,
1048,08/10/2024 19:10:00,26.992,,,,
1049,08/10/2024 19:20:00,26.939,,,,
1050,08/10/2024 19:30:00,26.896,,,,
1051,08/10/2024 19:40:00,26.842,,,,
1052,08/10/2024 19:50:00,26.799,,,,
1053,08/10/2024 20:00:00,26.746,,,,
1054,08/10/2024 20:10:00,26.703,,,,
1055,08/10/2024 20:20:00,26.649,,,,
1056,08/10/2024 20:30:00,26.606,,,,
1057,08/10/2024 20:40:00,26.553,,,,
1058,08/10/2024 20:50:00,26.510,,,,
1059,08/10/2024 21:00:00,26.467,,,,
1060,08/10/2024 21:10:00,26.435,,,,
1061,08/10/2024 21:20:00,26.392,,,,
1062,08/10/2024 21:30:00,26.349,,,,
1063,08/10/2024 21:40:00,26.327,,,,
1064,08/10/2024 21:50:00,26.295,,,,
1065,08/10/2024 22:00:00,26.263,,,,
1066,08/10/2024 22:10:00,26.220,,,,
1067,08/10/2024 22:20:00,26.199,,,,
1068,08/10/2024 22:30:00,26.177,,,,
1069,08/10/2024 22:40:00,26.156,,,,
1070,08/10/2024 22:50:00,26.124,,,,
1071,08/10/2024 23:00:00,26.091,,,,
1072,08/10/2024 23:10:00,26.070,,,,
1073,08/10/2024 23:20:00,26.038,,,,
1074,08/10/2024 23:30:00,26.006,,,,
1075,08/10/2024 23:40:00,25.984,,,,
1076,08/10/2024 23:50:00,25.952,,,,
1077,08/11/2024 00:00:00,25.931,,,,
1078,08/11/2024 00:10:00,25.909,,,,
1079,08/11/2024 00:20:00,25.888,,,,
1080,08/11/2024 00:30:00,25.866,,,,
1081,08/11/2024 00:40:00,25.834,,,,
1082,08/11/2024 00:50:00,25.813,,,,
1083,08/11/2024 01:00:00,25.791,,,,
1084,08/11/2024 01:10:00,25.770,,,,
1085,08/11/2024 01:20:00,25.737,,,,
1086,08/11/2024 01:30:00,25.716,,,,
1087,08/11/2024 01:40:00,25.695,,,,
1088,08/11/2024 01:50:00,25.662,,,,
1089,08/11/2024 02:00:00,25.641,,,,
1090,08/11/2024 02:10:00,25.619,,,,
1091,08/11/2024 02:20:00,25.598,,,,
1092,08/11/2024 02:30:00,25.566,,,,
1093,08/11/2024 02:40:00,25.534,,,,
1094,08/11/2024 02:50:00,25.523,,,,
1095,08/11/2024 03:00:00,25.491,,,,
1096,08/11/2024 03:10:00,25.469,,,,
1097,08/11/2024 03:20:00,25.437,,,,
1098,08/11/2024 03:30:00,25.405,,,,
1099,08/11/2024 03:40:00,25.362,,,,
1100,08/11/2024 03:50:00,25.330,,,,
1101,08/11/2024 04:00:00,25.298,,,,
1102,08/11/2024 04:10:00,25.276,,,,
1103,08/11/2024 04:20:00,25.255,,,,
1104,08/11/2024 04:30:00,25.233,,,,
1105,08/11/2024 04:40:00,25.212,,,,
1106,08/11/2024 04:50:00,25.190,,,,
1107,08/11/2024 05:00:00,25.169,,,,
1108,08/11/2024 05:10:00,25.148,,,,
1109,08/11/2024 05:20:00,25.105,,,,
1110,08/11/2024 05:30:00,25.073,,,,
1111,08/11/2024 05:40:00,25.030,,,,
1112,08/11/2024 05:50:00,24.997,,,,
1113,08/11/2024 06:00:00,24.965,,,,
1114,08/11/2024 06:10:00,24.922,,,,
1115,08/11/2024 06:20:00,24.890,,,,
1116,08/11/2024 06:30:00,24.847,,,,
1117,08/11/2024 06:40:00,24.826,,,,
1118,08/11/2024 06:50:00,24.804,,,,
1119,08/11/2024 07:00:00,24.783,,,,
1120,08/11/2024 07:10:00,24.761,,,,
1121,08/11/2024 07:20:00,24.751,,,,
1122,08/11/2024 07:30:00,24.761,,,,
1123,08/11/2024 07:40:00,24.772,,,,
1124,08/11/2024 07:50:00,24.804,,,,
1125,08/11/2024 08:00:00,24.815,,,,
1126,08/11/2024 08:10:00,24.804,,,,
1127,08/11/2024 08:20:00,24.826,,,,
1128,08/11/2024 08:30:00,24.858,,,,
1129,08/11/2024 08:40:00,24.890,,,,
